[16:04:38] [Client thread/INFO]: Setting user: Player263
[16:04:38] [Client thread/INFO]: (Session ID is token:0:Player263)
[16:04:41] [Client thread/INFO]: LWJGL Version: 2.9.4
[16:04:41] [Client thread/INFO]: Reloading ResourceManager: Default
[16:04:41] [Client thread/ERROR]: Couldn't initialize twitch stream
[16:04:41] [Sound Library Loader/INFO]: Starting up SoundSystem...
[16:04:42] [Thread-6/INFO]: Initializing LWJGL OpenAL
[16:04:42] [Thread-6/INFO]: (The LWJGL binding of OpenAL.  For more information, see http://www.lwjgl.org)
[16:04:42] [Thread-6/INFO]: OpenAL initialized.
[16:04:42] [Sound Library Loader/INFO]: Sound engine started
[16:04:43] [Client thread/INFO]: Created: 512x512 textures-atlas
[16:04:49] [Server thread/INFO]: Starting integrated minecraft server version 1.8.8
[16:04:49] [Server thread/INFO]: Generating keypair
[16:04:49] [Server thread/INFO]: Preparing start region for level 0
[16:04:50] [Server thread/INFO]: Player263[local:E:1079cae8] logged in with entity id 386 at (-409.3130543718529, 71.0, 18.89878758869984)
[16:04:50] [Server thread/INFO]: Player263 joined the game
[16:04:52] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577092921
[16:04:52] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577092987
[16:04:53] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577093036
[16:04:53] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577093103
[16:04:53] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577093337
[16:04:53] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577093403
[16:04:53] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577093470
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > WarzAimNS has been enabled!
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096087
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096137
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096253
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096303
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096420
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096470
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096520
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096637
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096687
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096803
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096853
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096903
[16:04:56] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577096954
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097070
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097120
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097170
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097287
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097387
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097503
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097553
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097603
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097653
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097770
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097820
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097870
[16:04:57] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577097920
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098037
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098087
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098137
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098187
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098237
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098353
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098403
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098503
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098738
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098747
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098829
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098887
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098937
[16:04:58] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577098987
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099037
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099087
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099137
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099187
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099303
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099353
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099403
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099453
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099503
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099670
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099720
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099770
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099820
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099870
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099921
[16:04:59] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577099970
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100087
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100137
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100186
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100237
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100287
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100337
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100387
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100437
[16:05:00] [Client thread/INFO]: [CHAT] [§5ETHIC§f] > PACKET: 1531577100553
